cell_data.txt
DO NOT INSERT EMPTY LINES. KEEP THE FORMAT AS IT IS
 CELL     TYPE       X          Y      CO 
DSR8341  CT0587   1709.530   1636.500   N
DSV1386  CT0587   1688.470    988.500   N
DTD9937  CT0587    497.930   1162.200  FS
DTR9023  CT0806   1460.060   1088.400  FS
DTR9107  CT0918   1429.510    872.400   S
DTU2566  CT0150   1204.740   1326.000   S
DUA3601  CT0019   1693.930   1708.500  FN
DUC3875  CT0587   1712.780    880.500   N
DUK2871  CT0019   1722.660   1132.500  FN
DUK4036  CT0587    623.770   1601.400   S
DUM8616  CT0182   1526.100    915.600   S
DVC6432  CT0587    744.410   1600.500  FN
DVG5038  CT0839   1123.360   1326.000  FS
DWE3845  CT0587   1719.020    988.500   N
DWG1591  CT0587    370.660   1634.700  FN
DWY2880  CT0587    498.190   1517.700   N
DXN9446  CT0176   1486.450    926.400   S
DXQ7077  CT0587   1686.130    700.500   N
DXS8438  CT0198   1441.860    899.400   S
DXU2571  CT0587   1707.320    988.500   N
DYJ9814  CT0587   1678.070   1204.500   N
DYT1790  CT0198   1355.800    904.800   S
DYX4658  CT0267   1435.620   1066.800  FS
DZN3396  CT0115    350.510   1628.400  FS
DZW6568  CT0064   1416.380    867.000  FS
DZX3169  CT0064   1441.990   1061.400   S
EAN7803  CT0918   1134.670   1326.000   S
EBE7123  CT0847   1530.650   1012.800  FS
ECJ6247  CT0623   1602.410    796.800   S
ECJ9395  CT0078   1410.530    883.200  FS
ECL8137  CT0150   1435.750    937.200  FS
ECN7711  CT0587   1707.450    664.500   N
ECQ7718  CT0704   1384.010   1039.800   S
ECR1071  CT0587   1711.610    736.500   N
EDA3561  CT0587    376.510   1006.500  FN
EDE8383  CT0623   1601.500    849.000  FS
EDJ2512  CT0182   1525.320    894.000   S
EDQ2656  CT0587   1710.050    700.500   N
EDT8982  CT0587   1684.180   1708.500   N
EDX9818  CT0587   1689.770   1168.500   N
EEQ2432  CT0064   1110.750   1288.200  FS
EFV9586  CT0587   1714.470    556.500   N
EGM1389  CT0587   1715.770   1060.500   N
EGZ0587  CT0078   1364.120    948.000   S
EHR3791  CT0198   1435.360    975.000   S
EHZ0883  CT0064   1441.730   1088.400   S
EIB5887  CT0587   1676.510   1600.500   N
EIC4645  CT0019   1694.320   1240.500   N
EIE0208  CT0623   1700.170   1473.600  FS
EIK0536  CT0597    343.360    986.700  FN
EIM6820  CT0623   1600.330    964.200   S
EIN4723  CT0587    450.350   1568.100  FN
EIP0621  CT0561   1707.190   1564.500  FN
EJB8405  CT0587    434.230   1566.300  FN
EJC7397  CT0587   1683.660   1276.500   N
EJG1934  CT0198   1435.490    899.400   S
EJH1141  CT0587   1684.960   1060.500   N
EJJ1921  CT0734    795.110    300.000   S
EJV8184  CT0839   1356.450    991.200  FS
EJW4304  CT0587   1704.850    772.500   N
